Id,Label,timeset,degree,clustering,triangles,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,weighted degree
F.J. Torres-Ruiz,F.J. Torres-Ruiz,,3,1,3,0,8,0.248547,0.275644,0,0.018071,2,3
Jerzy Stefanowski,Jerzy Stefanowski,,3,1,3,0,6,0.343248,0.368684,0,0.061395,1,3
A. Rodriguez-Ledesma,A. Rodriguez-Ledesma,,3,1,3,0,7,0.316638,0.357932,0,0.06076,2,3
C. Lopez-Pujalte,C. Lopez-Pujalte,,3,1,3,0,7,0.316638,0.357932,0,0.06076,2,3
E. Contreras,E. Contreras,,4,1,6,0,7,0.315675,0.356786,0,0.059239,2,4
A.A. Ruiz,A.A. Ruiz,,4,1,6,0,7,0.315675,0.356786,0,0.059239,2,4
J.L. Palacios,J.L. Palacios,,3,1,3,0,6,0.270059,0.285076,0,0.016545,10,3
X. Chen,X. Chen,,2,1,1,0,6,0.34455,0.37006,0,0.055303,2,2
Tianjun Liao,Tianjun Liao,,2,1,1,0,7,0.257984,0.271183,0,0.005487,22,2
Thomas Stützle,Thomas Stützle,,4,0.666667,4,0,7,0.258168,0.272558,0.000004,0.007007,22,5
H.Fujita,H.Fujita,,4,1,6,0,7,0.315675,0.356786,0,0.059238,2,4
C. Blum,C. Blum,,3,1,3,0,7,0.257163,0.270266,0,0.009078,22,3
E. Fernandez-Blanco,E. Fernandez-Blanco,,5,1,10,0,6,0.219306,0.235236,0,0.010916,13,5
F. Cedron,F. Cedron,,5,1,10,0,6,0.219306,0.235236,0,0.010916,13,5
A. Pazos,A. Pazos,,5,1,10,0,6,0.219306,0.235236,0,0.010916,13,5
A. B. Porto-Pazos,A. B. Porto-Pazos,,5,1,10,0,6,0.219306,0.235236,0,0.010916,13,5
M. I. Huete,M. I. Huete,,7,0.714286,15,0,6,0.219637,0.23707,0.000005,0.02184,13,8
T. Kahana,T. Kahana,,8,0.821429,23,0,6,0.221309,0.241655,0.000012,0.025186,13,10
R. Vicente,R. Vicente,,12,1,66,0,6,0.222596,0.24624,0,0.041448,13,12
D. Navega,D. Navega,,12,1,66,0,6,0.222596,0.24624,0,0.041448,13,12
P. Jayaprakash,P. Jayaprakash,,16,0.7,84,0,6,0.222869,0.248991,0.000091,0.048223,13,19
M. Huete,M. Huete,,12,1,66,0,6,0.222596,0.24624,0,0.041448,13,12
T. Briers,T. Briers,,12,1,66,0,6,0.222596,0.24624,0,0.041448,13,12
R. Hardiman,R. Hardiman,,12,1,66,0,6,0.222596,0.24624,0,0.041448,13,12
F. Cavalli,F. Cavalli,,16,0.683333,82,0,6,0.222869,0.248991,0.000112,0.050169,13,17
K.Imaizumi,K.Imaizumi,,12,1,66,0,6,0.222596,0.24624,0,0.041448,13,12
E. Veselovskaya,E. Veselovskaya,,7,1,21,0,6,0.221242,0.240967,0,0.023605,13,7
A. Abramov,A. Abramov,,7,1,21,0,6,0.221242,0.240967,0,0.023605,13,7
R. Jankauskas,R. Jankauskas,,7,1,21,0,6,0.221242,0.240967,0,0.023605,13,7
J.A. Olivas,J.A. Olivas,,3,1,3,0,7,0.315538,0.356098,0,0.050731,28,3
J. Serrano-Guerrero,J. Serrano-Guerrero,,3,1,3,0,7,0.315538,0.356098,0,0.050731,28,3
F.P. Romero,F.P. Romero,,3,1,3,0,7,0.315538,0.356098,0,0.050731,28,3
D. Paternain,D. Paternain,,11,1,55,0,6,0.350699,0.382669,0,0.155969,1,30
C. Lopez-Molina,C. Lopez-Molina,,11,1,55,0,6,0.350699,0.382669,0,0.155969,1,22
C. Martinez-Cruz,C. Martinez-Cruz,,3,1,3,0,7,0.315538,0.356098,0,0.055182,2,3
Ning Xiong,Ning Xiong,,3,1,3,0,6,0.34341,0.368913,0,0.052276,22,3
Miguel Leon Ortiz,Miguel Leon Ortiz,,3,1,3,0,6,0.34341,0.368913,0,0.052276,22,3
L. D’eer,L. D’eer,,3,1,3,0,7,0.261888,0.277671,0,0.01385,14,3
L. Godo,L. Godo,,3,1,3,0,7,0.261888,0.277671,0,0.01385,14,3
L. Septem,L. Septem,,3,1,3,0,6,0.343735,0.369372,0,0.064558,1,3
H. Zang,H. Zang,,5,1,10,0,7,0.315812,0.357474,0,0.057223,29,5
Z. Gong,Z. Gong,,5,1,10,0,7,0.315812,0.357474,0,0.057223,29,5
U. A. Ozturk,U. A. Ozturk,,5,1,10,0,7,0.315812,0.357474,0,0.057223,29,5
X. Xul,X. Xul,,5,1,10,0,7,0.315812,0.357474,0,0.057223,29,5
C. Xu,C. Xu,,5,1,10,0,7,0.315812,0.357474,0,0.057223,29,5
O. Banos,O. Banos,,10,1,45,0,7,0.31914,0.365268,0,0.09316,5,11
I. Diaz-Reyes,I. Diaz-Reyes,,10,1,45,0,7,0.31914,0.365268,0,0.09316,5,11
M. Damas,M. Damas,,10,1,45,0,7,0.31914,0.365268,0,0.09316,5,11
C.S. Hong,C.S. Hong,,10,1,45,0,7,0.31914,0.365268,0,0.09316,5,11
S. Lee,S. Lee,,10,1,45,0,7,0.31914,0.365268,0,0.09316,5,11
H. Pomares,H. Pomares,,12,0.963636,53,0,7,0.31914,0.365268,0,0.097642,5,22
I. Rojas,I. Rojas,,10,1,45,0,7,0.31914,0.365268,0,0.09316,5,11
C. Villalonga,C. Villalonga,,10,1,45,0,7,0.31914,0.365268,0,0.09316,5,11
J.V. Riera,J.V. Riera,,3,1,3,0,7,0.315538,0.356098,0,0.051012,2,6
D. Galpert,D. Galpert,,5,1,10,0,6,0.343086,0.369372,0,0.062388,20,5
E. Ancede,E. Ancede,,5,1,10,0,6,0.343086,0.369372,0,0.062388,20,5
A.G. Lopez-Herrera,A.G. Lopez-Herrera,,2,1,1,0,7,0.3165,0.357244,0,0.057761,2,2
A.C. de Carvalho,A.C. de Carvalho,,5,1,10,0,6,0.343573,0.37006,0,0.068507,1,5
F.J. Quesada,F.J. Quesada,,3,1,3,0,7,0.285434,0.302866,0,0.01386,24,3
I. Palomares,I. Palomares,,5,0.6,6,0,6,0.344223,0.370977,0.001238,0.060762,24,10
L.J. Morales Chacon,L.J. Morales Chacon,,1,0,0,0,8,0.248377,0.274268,0,0.012235,2,1
Y. Shi,Y. Shi,,4,1,6,0,7,0.315675,0.356786,0,0.053793,30,4
L.F. Monteiro,L.F. Monteiro,,4,1,6,0,7,0.315675,0.356786,0,0.053793,30,4
R. Colcher,R. Colcher,,4,1,6,0,7,0.315675,0.356786,0,0.053793,30,4
P. Wolcott,P. Wolcott,,4,1,6,0,7,0.315675,0.356786,0,0.053793,30,4
J. Carabaño,J. Carabaño,,4,1,6,0,6,0.343898,0.37006,0,0.066646,1,4
A. Cano,A. Cano,,6,1,15,0,6,0.357952,0.384159,0,0.065736,7,6
F. Rojas Ruiz,F. Rojas Ruiz,,6,1,15,0,6,0.357952,0.384159,0,0.065736,7,6
M. Gomez Olmedo,M. Gomez Olmedo,,6,1,15,0,6,0.357952,0.384159,0,0.065736,7,6
J. Ortega Lopera,J. Ortega Lopera,,6,1,15,0,6,0.357952,0.384159,0,0.065736,7,6
J. Gonzalez Peñalver,J. Gonzalez Peñalver,,6,1,15,0,6,0.357952,0.384159,0,0.065736,7,6
M. Rubio Escudero,M. Rubio Escudero,,3,1,3,0,7,0.272489,0.289707,0,0.009605,7,3
C. Mañoso,C. Mañoso,,3,1,3,0,7,0.272489,0.289707,0,0.009605,7,3
